district,149,2011,Drinking Water ,2015,3362
district,149,2011,Electricity ,2015,1135
district,149,2011,Computer ,2015,284
district,142,2011,Playground ,2015,2448
district,142,2011,Boundarywall ,2015,2964
district,142,2011,Girls Toilet ,2015,3936
district,142,2011,Boys Toilet ,2015,3871
district,142,2011,Drinking Water ,2015,3971
district,142,2011,Electricity ,2015,2058
district,142,2011,Computer ,2015,691
district,500,2011,Playground ,2015,1762
district,500,2011,Boundarywall ,2015,2014
district,500,2011,Girls Toilet ,2015,2139
district,500,2011,Boys Toilet ,2015,2119
district,500,2011,Drinking Water ,2015,2197
district,500,2011,Electricity ,2015,1790
district,500,2011,Computer ,2015,833
district,121,2011,Playground ,2015,973
district,121,2011,Boundarywall ,2015,1406
district,121,2011,Girls Toilet ,2015,1935
district,121,2011,Boys Toilet ,2015,1905
district,121,2011,Drinking Water ,2015,1925
district,121,2011,Electricity ,2015,1092
district,121,2011,Computer ,2015,520
district,467,2011,Playground ,2015,669
district,467,2011,Boundarywall ,2015,436
district,467,2011,Girls Toilet ,2015,790
district,467,2011,Boys Toilet ,2015,847
district,467,2011,Drinking Water ,2015,890
district,467,2011,Electricity ,2015,291
district,467,2011,Computer ,2015,200
district,232,2011,Playground ,2015,332
district,232,2011,Boundarywall ,2015,809
district,232,2011,Girls Toilet ,2015,984
district,232,2011,Boys Toilet ,2015,1079
district,232,2011,Drinking Water ,2015,1211
district,232,2011,Electricity ,2015,277
district,232,2011,Computer ,2015,76
district,316,2011,Playground ,2015,688
district,316,2011,Boundarywall ,2015,482
district,316,2011,Girls Toilet ,2015,1400
district,316,2011,Boys Toilet ,2015,2247
district,316,2011,Drinking Water ,2015,2072
district,316,2011,Electricity ,2015,522
district,316,2011,Computer ,2015,254
district,95,2011,Playground ,2015,1334
district,95,2011,Boundarywall ,2015,1083
district,95,2011,Girls Toilet ,2015,1741
district,95,2011,Boys Toilet ,2015,1738
district,95,2011,Drinking Water ,2015,1747
